,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
ss,7.429,10.159,0.599,20.436,0.376,0.266,1448.0,783.0,1.0
shift,3.732,1.17,1.599,6.05,0.044,0.034,747.0,857.0,1.0
b_shrinkage[0],0.744,1.488,0.003,2.169,0.041,0.029,780.0,1010.0,1.01
b_shrinkage[1],0.326,0.671,0.0,1.193,0.023,0.017,720.0,541.0,1.01
fixed_b[0],2.954,1.917,-0.978,6.389,0.096,0.068,413.0,279.0,1.01
fixed_b[1],-0.167,0.065,-0.292,-0.021,0.003,0.003,473.0,183.0,1.02
ls,135.755,2502.91,0.019,175.277,59.157,41.837,177.0,292.0,1.03
var,4.764,8.226,0.001,16.652,0.798,0.594,264.0,122.0,1.02
nu_y,1.867,0.68,0.852,3.185,0.028,0.021,728.0,364.0,1.01
sigma_y,1.103,0.264,0.651,1.587,0.009,0.006,912.0,1108.0,1.0
