,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
b_shrinkage[0],0.783,1.776,0.007,2.144,0.047,0.033,1479.0,1154.0,1.0
b_shrinkage[1],0.253,0.567,0.0,0.976,0.015,0.011,1667.0,1370.0,1.0
fixed_b[0],3.55,2.55,-0.982,8.314,0.088,0.062,869.0,874.0,1.0
fixed_b[1],-0.063,0.098,-0.262,0.107,0.003,0.002,1026.0,1108.0,1.0
ls,13.173,7.426,2.84,22.988,0.297,0.21,550.0,637.0,1.0
var,7.658,8.891,0.479,20.326,0.373,0.311,974.0,1004.0,1.0
nu_y,3.732,1.473,1.612,6.639,0.03,0.023,2468.0,1514.0,1.0
sigma_y,1.624,0.277,1.103,2.148,0.006,0.004,2155.0,1294.0,1.0
